number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_at,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,priority_label,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,closed_code,resolved_by,resolved_at,closed_at,Priority_Label
INC0000504,New,True,0,0,0,True,Caller 1296,Opened by  24,1/3/2016 8:02,Created by 13,1/3/2016 8:04,Updated by 60,3-Jan-16,Phone,Location 143,Category 32,Subcategory 9,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 7,User_132,2/3/2016 16:26,7/3/2016 17:00,Moderate
INC0000505,New,True,0,0,0,True,Caller 3476,Opened by  131,1/3/2016 8:10,?,?,Updated by 908,3-Jan-16,Phone,Location 204,Category 55,Subcategory 170,Symptom 315,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 7,User_2,3/3/2016 10:10,8/3/2016 11:00,Moderate
INC0000508,New,True,0,0,0,True,Caller 1045,Opened by  180,1/3/2016 8:18,Created by 81,1/3/2016 8:30,Updated by 340,3-Jan-16,Phone,Location 204,Category 51,Subcategory 25,Symptom 4,?,1 - High,2 - Medium,2 - High,P2,Group 25,Resolver 227,True,False,Do Not Notify,?,?,?,?,code 6,User_206,17-03-2016 18:51,24-03-2016 18:59,High
INC0000509,New,True,0,0,0,True,Caller 298,Opened by  501,1/3/2016 8:21,Created by 216,1/3/2016 8:57,Updated by 915,3-Jan-16,Phone,Location 143,Category 45,Subcategory 150,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 67,Resolver 236,True,False,Do Not Notify,?,?,?,?,code 9,User_215,3/3/2016 17:28,8/3/2016 18:00,Moderate
INC0000510,New,True,0,0,0,True,Caller 2537,Opened by  24,1/3/2016 8:27,Created by 13,1/3/2016 8:32,Updated by 60,3-Jan-16,Phone,Location 128,Category 43,Subcategory 105,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 43,?,True,False,Do Not Notify,?,?,?,?,code 6,User_166,3/3/2016 17:00,8/3/2016 18:00,Moderate
INC0000511,New,True,0,0,0,True,Caller 4532,Opened by  131,1/3/2016 8:28,Created by 62,1/3/2016 8:34,Updated by 265,3-Jan-16,Phone,Location 143,Category 37,Subcategory 123,Symptom 529,?,3 - Low,3 - Low,4 - Low,P4,Group 70,Resolver 74,True,False,Do Not Notify,?,?,?,?,code 8,User_67,22-03-2016 15:15,27-03-2016 15:59,Low
INC0000512,Active,True,0,0,0,True,Caller 1854,Opened by  40,1/3/2016 8:29,Created by 20,1/3/2016 8:35,Updated by 88,3-Jan-16,Phone,Location 93,Category 53,Subcategory 271,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,Resolver 201,True,False,Do Not Notify,?,?,?,?,code 6,User_183,3/3/2016 9:21,8/3/2016 10:00,Moderate
INC0000513,New,True,0,0,0,True,Caller 2313,Opened by  180,1/3/2016 8:30,?,?,Updated by 908,3-Jan-16,Phone,Location 108,Category 32,Subcategory 9,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,User_170,3/3/2016 15:58,8/3/2016 16:00,Moderate
INC0000516,New,True,0,0,0,True,Caller 4414,Opened by  433,1/3/2016 8:35,Created by 190,1/3/2016 8:39,Updated by 804,3-Jan-16,Phone,Location 51,Category 45,Subcategory 29,?,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 55,Resolver 214,True,False,Do Not Notify,?,?,?,?,code 6,User_195,1/3/2016 10:26,6/3/2016 11:00,Moderate
INC0000517,New,True,0,0,0,True,Caller 2529,Opened by  40,1/3/2016 8:35,?,?,Updated by 908,3-Jan-16,Phone,Location 96,Category 45,Subcategory 200,Symptom 571,?,1 - High,1 - High,1 - Critical,P1,Group 55,?,True,False,Do Not Notify,?,?,?,?,code 11,User_127,19-04-2016 11:09,24-04-2016 11:10,Critical
INC0000519,New,True,0,0,0,True,Caller 1777,Opened by  180,1/3/2016 8:37,Created by 81,1/3/2016 8:53,Updated by 340,3-Jan-16,Phone,Location 143,Category 20,Subcategory 103,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 28,Resolver 236,True,False,Do Not Notify,?,?,?,?,?,User_215,2/3/2016 11:07,7/3/2016 12:00,Moderate
INC0000520,New,True,0,0,0,True,Caller 2071,Opened by  24,1/3/2016 8:40,Created by 13,1/3/2016 8:52,Updated by 60,3-Jan-16,Phone,Location 204,Category 20,Subcategory 125,Symptom 6,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 69,?,True,False,Do Not Notify,?,?,?,?,code 11,User_113,3/3/2016 13:41,8/3/2016 14:00,Moderate
INC0000521,Active,True,0,0,0,True,Caller 4414,Opened by  433,1/3/2016 8:42,?,?,Updated by 908,3-Jan-16,Phone,Location 51,Category 22,Subcategory 277,?,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 72,Resolver 165,True,False,Do Not Notify,?,?,?,?,code 16,User_99,2/3/2016 8:04,7/3/2016 9:00,Moderate
INC0000524,Active,True,0,0,0,True,Caller 1964,Opened by  40,1/3/2016 8:45,Created by 20,1/3/2016 8:47,Updated by 88,3-Jan-16,Phone,Location 204,Category 53,Subcategory 271,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,Resolver 33,True,False,Do Not Notify,?,?,?,?,code 7,User_66,16-03-2016 13:02,24-03-2016 18:59,Moderate
INC0000525,New,True,0,0,0,True,Caller 2361,Opened by  131,1/3/2016 8:48,Created by 62,1/3/2016 8:53,Updated by 265,3-Jan-16,Phone,Location 108,Category 19,Subcategory 4,Symptom 134,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,User_135,4/3/2016 15:19,9/3/2016 16:00,Moderate
INC0000526,Active,True,0,0,0,True,Caller 4414,Opened by  433,1/3/2016 8:52,?,?,Updated by 908,3-Jan-16,Phone,Location 51,Category 32,Subcategory 9,?,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 72,Resolver 165,True,False,Do Not Notify,?,?,?,?,code 16,User_99,2/3/2016 8:00,7/3/2016 9:00,Moderate
INC0000527,New,True,0,0,0,True,Caller 3166,Opened by  40,1/3/2016 8:53,?,?,Updated by 908,3-Jan-16,Phone,Location 161,Category 53,Subcategory 114,Symptom 583,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 66,?,True,False,Do Not Notify,?,?,?,?,code 5,User_184,1/3/2016 19:47,6/3/2016 20:00,Moderate
INC0000528,New,True,0,0,0,True,Caller 2329,Opened by  131,1/3/2016 8:53,?,?,Updated by 908,3-Jan-16,Phone,Location 204,Category 61,Subcategory 164,Symptom 315,?,3 - Low,3 - Low,4 - Low,P4,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,User_180,3/3/2016 10:19,8/3/2016 11:00,Low
INC0000530,New,True,0,0,0,True,Caller 4729,Opened by  180,1/3/2016 8:55,?,?,Updated by 908,3-Jan-16,Phone,Location 249,Category 45,Subcategory 223,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,User_85,1/3/2016 9:00,6/3/2016 10:00,Moderate
INC0000532,New,True,0,0,0,True,Caller 4372,Opened by  131,1/3/2016 8:59,Created by 62,1/3/2016 9:05,Updated by 265,3-Jan-16,Phone,Location 108,Category 45,Subcategory 200,Symptom 609,?,3 - Low,3 - Low,4 - Low,P4,Group 70,Resolver 216,True,False,Do Not Notify,?,?,?,?,code 1,User_197,2/3/2016 11:39,7/3/2016 12:00,Low
INC0000534,New,True,0,0,0,True,Caller 649,Opened by  180,1/3/2016 9:00,Created by 81,1/3/2016 9:02,Updated by 340,3-Jan-16,Phone,Location 108,Category 9,Subcategory 164,Symptom 609,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,Resolver 34,True,False,Do Not Notify,?,?,?,?,code 6,User_33,1/3/2016 14:19,6/3/2016 15:00,Moderate
INC0000535,New,True,0,0,0,True,Caller 217,Opened by  180,1/3/2016 9:02,?,?,Updated by 908,3-Jan-16,Phone,Location 204,Category 23,Subcategory 75,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 7,User_174,2/3/2016 1:30,7/3/2016 2:00,Moderate
INC0000536,New,True,0,0,0,True,Caller 5186,Opened by  24,1/3/2016 9:03,Created by 13,1/3/2016 9:09,Updated by 60,3-Jan-16,Phone,Location 91,Category 40,Subcategory 44,Symptom 208,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 54,Resolver 249,True,False,Do Not Notify,?,?,?,?,code 5,User_227,4/3/2016 9:29,9/3/2016 10:00,Moderate
INC0000537,New,True,0,0,0,True,Caller 4591,Opened by  40,1/3/2016 9:06,?,?,Updated by 908,3-Jan-16,Phone,Location 108,Category 45,Subcategory 223,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,User_15,1/3/2016 9:38,6/3/2016 10:00,Moderate
INC0000538,New,True,0,0,0,True,Caller 225,Opened by  180,1/3/2016 9:08,Created by 81,1/3/2016 9:12,Updated by 340,3-Jan-16,Phone,Location 204,Category 20,Subcategory 103,Symptom 470,?,1 - High,2 - Medium,2 - High,P2,Group 25,Resolver 58,True,False,Do Not Notify,?,?,?,?,code 6,User_53,2/3/2016 13:14,7/3/2016 14:00,High
INC0000539,New,True,0,0,0,True,Caller 1143,Opened by  131,1/3/2016 9:10,Created by 62,1/3/2016 9:15,Updated by 265,3-Jan-16,Phone,Location 204,Category 37,Subcategory 189,Symptom 87,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,Resolver 57,True,False,Do Not Notify,?,?,?,?,code 6,User_53,3/3/2016 12:59,8/3/2016 13:00,Moderate
INC0000540,Active,True,0,0,0,True,Caller 4414,Opened by  433,1/3/2016 9:11,Created by 190,1/3/2016 9:11,Updated by 804,3-Jan-16,Phone,Location 51,Category 45,Subcategory 29,?,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 55,Resolver 134,True,False,Do Not Notify,?,?,?,?,code 7,User_120,1/3/2016 9:45,6/3/2016 10:00,Moderate
INC0000541,New,True,0,0,0,True,Caller 3829,Opened by  180,1/3/2016 9:13,?,?,Updated by 908,3-Jan-16,Phone,Location 170,Category 23,Subcategory 3,Symptom 6,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 7,User_15,22-03-2016 08:20,27-03-2016 08:59,Moderate
INC0000543,New,True,0,0,0,True,Caller 3778,Opened by  24,1/3/2016 9:14,Created by 13,1/3/2016 9:36,Updated by 60,3-Jan-16,Phone,Location 161,Category 34,Subcategory 112,Symptom 121,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 24,Resolver 253,True,False,Do Not Notify,?,?,?,?,code 6,User_231,1/3/2016 16:20,6/3/2016 17:00,Moderate
INC0000544,New,True,0,0,0,True,Caller 3048,Opened by  131,1/3/2016 9:15,Created by 62,1/3/2016 9:21,Updated by 265,3-Jan-16,Phone,Location 51,Category 9,Subcategory 164,Symptom 583,?,3 - Low,3 - Low,4 - Low,P4,Group 30,Resolver 184,True,False,Do Not Notify,?,?,?,?,code 6,User_167,3/3/2016 11:56,8/3/2016 12:00,Low
INC0000545,New,True,0,0,0,True,Caller 5588,Opened by  180,1/3/2016 9:16,?,?,Updated by 908,3-Jan-16,Phone,Location 204,Category 45,Subcategory 223,Symptom 6,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,User_85,1/3/2016 9:17,6/3/2016 10:00,Moderate
INC0000547,New,True,0,0,0,True,Caller 2484,Opened by  180,1/3/2016 9:18,Created by 81,1/3/2016 9:19,Updated by 340,3-Jan-16,Phone,Location 204,Category 53,Subcategory 78,?,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,Resolver 125,True,False,Do Not Notify,?,?,?,?,code 5,User_113,8/3/2016 13:31,24-03-2016 18:40,Moderate
INC0000548,Active,True,0,0,0,True,Caller 2410,Opened by  512,1/3/2016 9:19,Created by 221,1/3/2016 9:20,Updated by 939,3-Jan-16,Phone,Location 204,Category 42,Subcategory 224,Symptom 224,?,1 - High,1 - High,1 - Critical,P1,Group 31,Resolver 207,True,False,Do Not Notify,Problem ID  12,?,?,?,code 7,User_188,4/3/2016 11:02,9/3/2016 12:00,Critical
INC0000549,New,True,0,0,0,True,Caller 3826,Opened by  180,1/3/2016 9:22,Created by 81,1/3/2016 9:31,Updated by 340,3-Jan-16,Phone,Location 161,Category 9,Subcategory 164,Symptom 473,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 24,Resolver 24,True,False,Do Not Notify,?,?,?,?,code 6,User_22,2/3/2016 11:29,7/3/2016 12:00,Moderate
INC0000550,New,True,0,0,0,True,Caller 1009,Opened by  131,1/3/2016 9:23,?,?,Updated by 908,3-Jan-16,Phone,Location 143,Category 9,Subcategory 164,Symptom 4,?,3 - Low,3 - Low,4 - Low,P4,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,User_175,3/3/2016 15:51,8/3/2016 16:00,Low
INC0000552,New,True,0,0,0,True,Caller 1760,Opened by  131,1/3/2016 9:28,Created by 62,1/3/2016 9:32,Updated by 265,3-Jan-16,Phone,Location 143,Category 53,Subcategory 303,Symptom 134,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,User_132,3/3/2016 14:20,8/3/2016 15:00,Moderate
INC0000553,Active,True,0,0,0,True,Caller 1522,Opened by  40,1/3/2016 9:29,Created by 20,1/3/2016 9:36,Updated by 88,3-Jan-16,Phone,Location 128,Category 53,Subcategory 271,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,Resolver 99,True,False,Do Not Notify,?,?,?,?,code 6,User_89,11/3/2016 12:12,24-03-2016 18:50,Moderate
INC0000554,New,True,0,0,0,True,Caller 4797,Opened by  180,1/3/2016 9:31,?,?,Updated by 908,3-Jan-16,Phone,Location 208,Category 61,Subcategory 164,Symptom 121,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 25,?,True,False,Do Not Notify,?,?,?,?,code 8,User_180,3/3/2016 8:43,8/3/2016 9:00,Moderate
INC0000557,New,True,0,0,0,True,Caller 3626,Opened by  180,1/3/2016 9:36,Created by 81,1/3/2016 9:37,Updated by 340,3-Jan-16,Phone,Location 93,Category 53,Subcategory 168,?,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 23,?,True,False,Do Not Notify,?,?,?,?,code 7,User_62,1/3/2016 15:25,6/3/2016 16:00,Moderate
INC0000558,New,True,0,0,0,True,Caller 5538,Opened by  131,1/3/2016 9:36,Created by 62,1/3/2016 9:42,Updated by 265,3-Jan-16,Phone,Location 46,Category 24,Subcategory 164,Symptom 315,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,Resolver 117,True,False,Do Not Notify,?,?,?,?,code 6,User_53,30-03-2016 10:16,4/4/2016 10:59,Moderate
INC0000559,New,True,0,0,0,True,Caller 2964,Opened by  40,1/3/2016 9:36,Created by 20,1/3/2016 9:41,Updated by 88,3-Jan-16,Phone,Location 93,Category 24,Subcategory 164,Symptom 571,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,Resolver 215,True,False,Do Not Notify,?,?,?,?,code 6,User_196,4/3/2016 9:18,9/3/2016 10:00,Moderate
INC0000561,New,True,0,0,0,True,Caller 2359,Opened by  180,1/3/2016 9:41,Created by 81,1/3/2016 9:54,Updated by 340,3-Jan-16,Phone,Location 143,Category 37,Subcategory 135,?,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 10,Resolver 74,True,False,Do Not Notify,?,?,?,?,code 8,User_67,22-03-2016 15:16,27-03-2016 15:59,Moderate
INC0000564,Active,True,0,0,0,True,Caller 4539,Opened by  40,1/3/2016 9:42,?,?,Updated by 908,3-Jan-16,Phone,Location 36,Category 53,Subcategory 271,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,User_170,4/3/2016 11:29,9/3/2016 12:00,Moderate
INC0000565,New,True,0,0,0,True,Caller 2288,Opened by  131,1/3/2016 9:42,?,?,Updated by 908,3-Jan-16,Phone,Location 162,Category 32,Subcategory 9,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,User_175,3/3/2016 17:13,8/3/2016 18:00,Moderate
INC0000566,Active,True,0,0,0,True,Caller 807,Opened by  461,1/3/2016 9:43,Created by 205,1/3/2016 9:51,Updated by 862,3-Jan-16,Phone,Location 93,Category 45,Subcategory 94,?,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 33,Resolver 216,True,False,Do Not Notify,?,?,?,?,code 6,User_229,11/3/2016 9:47,23-05-2016 11:07,Moderate
INC0000568,New,True,0,0,0,True,Caller 2659,Opened by  180,1/3/2016 9:44,Created by 81,1/3/2016 9:52,Updated by 340,3-Jan-16,Phone,Location 143,Category 24,Subcategory 164,Symptom 474,?,1 - High,2 - Medium,2 - High,P2,Group 28,Resolver 78,True,False,Do Not Notify,?,?,?,?,code 6,User_71,2/3/2016 13:39,7/3/2016 14:00,High
INC0000569,New,True,0,0,0,True,Caller 1185,Opened by  24,1/3/2016 9:45,Created by 13,1/3/2016 9:49,Updated by 60,3-Jan-16,Phone,Location 93,Category 45,Subcategory 47,Symptom 470,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,Resolver 139,True,False,Do Not Notify,?,?,?,?,code 6,User_125,22-03-2016 08:34,27-03-2016 08:59,Moderate
INC0000570,New,True,0,0,0,True,Caller 1007,Opened by  501,1/3/2016 9:46,Created by 216,1/3/2016 9:49,Updated by 915,3-Jan-16,Phone,Location 143,Category 23,Subcategory 3,Symptom 471,?,3 - Low,3 - Low,4 - Low,P4,Group 28,Resolver 225,True,False,Do Not Notify,?,?,?,?,code 6,User_204,28-03-2016 09:22,2/4/2016 9:59,Low
INC0000571,New,True,0,0,0,True,Caller 684,Opened by  62,1/3/2016 9:47,Created by 33,1/3/2016 9:52,Updated by 133,3-Jan-16,Phone,Location 108,Category 53,Subcategory 303,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,Resolver 111,True,False,Do Not Notify,?,?,?,?,code 6,User_100,1/3/2016 12:26,6/3/2016 13:00,Moderate
INC0000572,New,True,0,0,0,True,Caller 1007,Opened by  501,1/3/2016 9:50,?,?,Updated by 908,3-Jan-16,Phone,Location 143,Category 61,Subcategory 283,Symptom 112,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 10,?,True,False,Do Not Notify,?,?,?,?,code 5,User_130,19-04-2016 15:45,24-04-2016 16:07,Moderate
INC0000574,New,True,0,0,0,True,Caller 4413,Opened by  131,1/3/2016 9:54,Created by 62,1/3/2016 10:10,Updated by 265,3-Jan-16,Phone,Location 108,Category 53,Subcategory 303,Symptom 486,?,3 - Low,3 - Low,4 - Low,P4,Group 27,Resolver 111,True,False,Do Not Notify,?,?,?,?,code 6,User_100,7/3/2016 16:16,24-03-2016 18:40,Low
INC0000576,New,True,0,0,0,True,Caller 228,Opened by  180,1/3/2016 9:55,Created by 81,1/3/2016 10:00,Updated by 340,3-Jan-16,Phone,Location 143,Category 26,Subcategory 175,Symptom 470,?,1 - High,2 - Medium,2 - High,P2,Group 28,Resolver 78,True,False,Do Not Notify,?,?,?,?,code 6,User_71,3/3/2016 15:55,8/3/2016 16:00,High
INC0000577,New,True,0,0,0,True,Caller 1007,Opened by  501,1/3/2016 9:56,Created by 216,1/3/2016 9:57,Updated by 915,3-Jan-16,Phone,Location 143,Category 9,Subcategory 164,Symptom 529,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 10,Resolver 78,True,False,Do Not Notify,?,?,?,?,code 6,User_71,17-03-2016 10:32,24-03-2016 18:59,Moderate
INC0000579,New,True,0,0,0,True,Caller 3646,Opened by  301,1/3/2016 9:57,?,?,Updated by 908,3-Jan-16,Phone,Location 143,Category 32,Subcategory 9,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,User_170,3/3/2016 18:34,8/3/2016 19:00,Moderate
INC0000582,New,True,0,0,0,True,Caller 3304,Opened by  180,1/3/2016 10:01,?,?,Updated by 908,3-Jan-16,Phone,Location 108,Category 23,Subcategory 75,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 72,?,True,False,Do Not Notify,?,?,?,?,code 16,User_99,2/3/2016 8:05,7/3/2016 9:00,Moderate
INC0000583,New,True,0,0,0,True,Caller 19,Opened by  24,1/3/2016 10:04,?,?,Updated by 908,3-Jan-16,Phone,Location 161,Category 32,Subcategory 9,Symptom 4,?,2 - Medium,2 - Medium,3 - Moderate,P3,Group 70,?,True,False,Do Not Notify,?,?,?,?,code 6,User_24,1/3/2016 21:50,6/3/2016 22:00,Moderate
